Naslov,Avtor,Leto izida,Dolžina,Točke,Ocena,Število bralcev 
The High House (Evenmere Chronicles #1),James Stoddard,1998,321,234,4.06,624
Reave the Just and Other Tales,Stephen R. Donaldson,1998,486,228,3.91,1342
"The Bellmaker (Redwall, #7)",Brian Jacques,1994,336,223,3.99,23595
"Magic Casement (A Man of His Word, #1)",Dave Duncan,1990,307,222,4.02,3258
"The Second Generation (Dragonlance: The New Generation, #1)",Margaret Weis,1995,402,220,3.69,8947
Daughter of the Drow (Starlight & Shadows #1),Elaine Cunningham,1995,342,220,3.97,4266
"The Tangle Box (Magic Kingdom of Landover, #4)",Terry Brooks,1988,352,217,3.88,13207
"Pearls of Lutra (Redwall, #9)",Brian Jacques,1996,408,207,4.03,21831
"Tales from Watership Down  (Watership Down, #2)",Richard  Adams,1996,335,205,3.83,8914
"Salamandastron (Redwall, #5)",Brian Jacques,1992,400,203,4.1,30802
"Fire Sea (The Death Gate Cycle, #3)",Margaret Weis,1991,410,201,4.09,19264
Guardian's Key,Anne Logston,1996,310,200,3.74,265
"The Hawk Eternal (The Hawk Queen, #2)",David Gemmell,1995,368,199,4.03,2955
"Elven Star (The Death Gate Cycle, #2)",Margaret Weis,1990,367,198,3.99,18821
Echoes of the Great Song,David Gemmell,1997,437,197,4.09,4064
"The Memory of Earth (Homecoming, #1)",Orson Scott Card,1992,332,196,3.59,16677
"Last Call (Fault Lines, #1)",Tim Powers,1992,535,194,4.06,6455
"The Element of Fire (Ile-Rien, #1)",Martha Wells,1993,322,194,3.88,3398
"Gun, With Occasional Music",Jonathan Lethem,1994,271,193,3.76,11240
The Porcelain Dove,Delia Sherman,1993,416,192,3.43,258
"The Magician's Ward (Mairelon, Book 2)",Patricia C. Wrede,1997,320,192,4.13,7766
"Hawkwood's Voyage (The Monarchies of God, #1)",Paul Kearney,1995,384,191,3.77,1958
"Skellig (Skellig, #1)",David Almond,1998,208,190,3.81,28647
"The Mad Ship (Liveship Traders, #2)",Robin Hobb,1999,906,190,4.3,69547
Jack of Kinrowan: Jack the Giant-Killer / Drink Down the Moon,Charles de Lint,1995,412,189,4.12,3860
"The Lost Years (Merlin, #1)",T.A. Barron,1996,326,189,3.97,20137
"The List of Seven (The List of Seven, #1)",Mark Frost,1993,416,189,3.94,3355
"The Revenge of the Rose (The Elric Saga, #9)",Michael Moorcock,1991,256,189,3.69,2447
The Chess Garden,Brooks Hansen,1995,480,188,4.0,575
Black Wine,Candas Jane Dorsey,1996,288,187,3.74,368
Villains by Necessity,Eve Forward,1995,544,187,4.18,1789
"Mother of Winter (Darwath, #4)",Barbara Hambly,1996,380,187,3.8,1104
"The Lunatic Cafe (Anita Blake, Vampire Hunter, #4)",Laurell K. Hamilton,1996,352,186,4.13,79490
"The Squire's Tale (The Squire's Tales, #1)",Gerald Morris,1998,212,185,4.01,9520
"Bloody Bones (Anita Blake, Vampire Hunter, #5)",Laurell K. Hamilton,1996,336,184,4.12,75340
"The Killing Dance (Anita Blake, Vampire Hunter, #6)",Laurell K. Hamilton,1997,368,182,4.13,73499
"Dreams Underfoot (Newford, #1)",Charles de Lint,1993,412,181,4.11,8894
Book of Enchantments,Patricia C. Wrede,1988,256,181,3.99,6051
"Serpent Mage (The Death Gate Cycle, #4)",Margaret Weis,1992,414,180,4.09,21958
"The True Knight (Warhorse of Esdragon, #3)",Susan Dexter,1995,323,179,3.89,172
"A Cavern of Black Ice (Sword of Shadows, #1)",J.V. Jones,1999,736,179,3.88,9172
Clouds End,Sean Stewart,1996,388,178,3.43,152
"Into the Labyrinth (The Death Gate Cycle, #6)",Margaret Weis,1993,441,178,4.13,20986
"Court Duel (Crown & Court, #2)",Sherwood Smith,1998,245,178,4.25,9296
"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,2011,1125,177,4.34,661441
"The Wind-Witch (Warhorse of Esdragon, #2)",Susan Dexter,1994,335,176,4.02,263
"The Seventh Gate (The Death Gate Cycle, #7)",Margaret Weis,1994,317,176,4.13,18819
Children of Amarid (Lon Tobyn Chronicle #1),David B. Coe,1998,591,176,3.91,1417
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,2000,973,174,4.54,794811
"Outcast of Redwall (Redwall, #8)",Brian Jacques,1995,360,173,3.94,21096
"Warhost of Vastmark (Wars of Light and Shadow, #3)",Janny Wurts,1995,492,172,4.07,3528
Oddly Enough,Bruce Coville,1994,122,172,3.99,458
"The Black Jewels Trilogy: Daughter of the Blood, Heir to the Shadows, Queen of the Darkness (The Black Jewels, #1-3)",Anne Bishop,2003,1204,171,4.39,13966
The Tough Guide to Fantasyland,Diana Wynne Jones,1996,223,170,3.94,4876
"Skybowl (Dragon Star, #3)",Melanie Rawn,1993,,168,4.1,10197
"Mad Ship (Liveship Traders, #2)",Robin Hobb,,,168,4.3,69547
"Steal the Dragon (Sianim, #2)",Patricia Briggs,1995,288,166,3.99,7147
"Silverwing (Silverwing, #1)",Kenneth Oppel,1997,272,165,4.07,14613
"Fugitive Prince (Wars of Light and Shadow, #4)",Janny Wurts,1997,704,164,3.91,3161
"The Uncrowned King (The Sun Sword, #2)",Michelle West,1998,687,162,4.15,2245
"The Hawk's Gray Feather (The Tales of Arthur, #1)",Patricia Kennealy-Morrison,1990,416,161,4.07,687
Rats and Gargoyles (White Crow Sequence #1),Mary Gentle,1990,477,161,3.58,507
"Marlfox (Redwall, #11)",Brian Jacques,1998,400,160,4.04,17566
"The Shining Court (The Sun Sword, #3)",Michelle West,1999,737,159,4.2,1685
"Ashling (The Obernewtyn Chronicles, #3)",Isobelle Carmody,1995,480,158,4.18,6630
The Book of Knights,Yves Meynard,1998,224,157,3.91,208
"The Legend of Luke (Redwall, #12)",Brian Jacques,1999,374,157,4.03,17014
"The Farseekers (The Obernewtyn Chronicles, #2)",Isobelle Carmody,1990,320,156,4.14,7728
"Mariel of Redwall (Redwall, #4)",Brian Jacques,1992,400,156,4.0,28801
"The Long Patrol (Redwall, #10)",Brian Jacques,1997,368,155,4.14,19932
"A College of Magics (A College of Magics, #1)",Caroline Stevermer,1994,480,154,3.71,5683
"Wayside School Gets A Little Stranger (Wayside School, #3)",Louis Sachar,1995,176,152,4.21,22193
"Krew elfów (Saga o Wiedźminie, #1)",Andrzej Sapkowski,1994,295,147,4.1,212750
Rhinegold,Stephan Grundy,1992,830,145,4.03,503
"Caledon of the Mists (Caledon, #1)",Deborah Turner Harris,1994,402,144,3.42,74
"Witches' Brew (Magic Kingdom of Landover, #5)",Terry Brooks,1995,304,142,3.92,10957
Child of Thunder (The Last of the Renshai #3),Mickey Zucker Reichert,1993,592,138,4.04,1198
"The Book of Earth (Dragon Quartet, #1)",Marjorie B. Kellogg,1995,335,137,3.77,977
The Heart of Myrial,Maggie Furey,1999,469,127,3.76,1079
"The Alleluia Files (Samaria, #3)",Sharon Shinn,1998,448,126,3.96,4528
"Miecz przeznaczenia (Saga o Wiedźminie, #0.7)",Andrzej Sapkowski,1992,343,122,4.27,190700
"The Malloreon Boxed Set: Guardians of the West / King of the Murgos / Demon Lord of Karanda / Sorceress of Darshiva / The Seeress of Kell (The Malloreon, #1-5)",David Eddings,1992,,114,4.36,4100
"The Belgariad Boxed Set: Pawn of Prophecy / Queen of Sorcery / Magician's Gambit / Castle of Wizardry / Enchanters' End Game (The Belgariad, #1-5)",David Eddings,1984,1635,112,4.29,16219
Reign of Malice,Joseph Hendon,2014,331,100,3.56,9
"Trouble on Cloud City (Star Wars: Young Jedi Knights, #13)",Kevin J. Anderson,1998,183,100,3.56,1689
A Different Kingdom,Paul Kearney,1993,320,100,3.74,280
Memoranda,Jeffrey Ford,1999,253,100,3.88,344
A Gracious Plenty,Sheri Reynolds,1997,224,100,3.98,2618
Moonwise,Greer Gilman,1991,373,100,4.07,164
"Armies of Malice (Malice, #2)",Joseph Hendon,2014,230,99,3.8,5
"The Lost Ones (Star Wars: Young Jedi Knights, #3)",Kevin J. Anderson,1995,240,99,3.54,2949
Firewalk,Anne Logston,1997,339,99,3.69,177
"Point of Hopes (Astreiant, #1)",Melissa Scott,1995,421,99,3.81,1077
Song of the Gargoyle,Zilpha Keatley Snyder,1991,240,99,3.99,248
"Juniper (Doran, #2)",Monica Furlong,1990,208,99,4.2,9775
The Deep Sea Diver's Syndrome,Serge Brussolo,1992,220,99,3.53,337
"Return of Malice (Malice, #1)",Joseph Hendon,2014,,98,4.0,4
"The Call of Earth (Homecoming, #2)",Orson Scott Card,1993,352,98,3.61,12013
"The Seven Songs (Merlin, #2)",T.A. Barron,1997,306,98,4.1,10657
"The 13½ Lives of Captain Bluebear (Zamonia, #1)",Walter Moers,1999,704,98,4.3,24616
"Czas pogardy (Saga o Wiedźminie, #2)",Andrzej Sapkowski,1995,319,97,4.16,147416
"The Alchymist's Cat (The Deptford Histories, #1)",Robin Jarvis,1989,,97,3.98,935
"The Great Tree of Avalon (Merlin, #9)",T.A. Barron,2004,464,97,4.08,6565
"The Elenium: The Diamond Throne / The Ruby Knight / The Sapphire Rose (The Elenium, #1-3)",David Eddings,1993,912,97,4.23,6096
"The Stone Prince (Branion, #1)",Fiona Patton,1997,544,97,3.63,1356
"Chrzest ognia (Saga o Wiedźminie, #3)",Andrzej Sapkowski,1996,336,96,4.25,122118
"The Oaken Throne (The Deptford Histories, #2)",Robin Jarvis,1993,458,96,4.25,565
"The Raging Fires (Merlin, #3)",T.A. Barron,1998,261,96,4.08,9437
"The Tamuli Omnibus (The Tamuli, #1-3)",David Eddings,1999,1462,96,4.29,3338
"Song of the Wanderer (The Unicorn Chronicles, #2)",Bruce Coville,1999,336,96,4.12,10995
"First Test (Protector of the Small, #1)",Tamora Pierce,1999,224,96,4.24,61556
"The Painter Knight (Branion, #2)",Fiona Patton,1998,522,96,3.85,429
Celestial Matters,Richard Garfinkle,1996,352,95,3.74,392
"Wieża Jaskółki (Saga o Wiedźminie, #4)",Andrzej Sapkowski,1997,428,95,4.22,103166
"Jovah's Angel (Samaria, #2)",Sharon Shinn,1997,368,95,3.95,5492
"Thomas (The Deptford Histories, #3)",Robin Jarvis,1995,512,95,4.11,386
"The Mirror of Fate (Merlin, #4)",T.A. Barron,1999,245,95,4.06,8902
"Crown Duel (Crown & Court, #1)",Sherwood Smith,1997,214,95,3.98,8542
"The Granite Shield (Branion, #3)",Fiona Patton,1999,528,95,3.76,227
Physiognomy,Ford Jeffrey,1997,256,94,3.75,1039
The Gypsy,Steven Brust,1992,288,94,3.44,942
"Pani Jeziora (Saga o Wiedźminie, #5)",Andrzej Sapkowski,1999,520,94,4.09,85097
"The Final Reckoning (The Deptford Mice, #3)",Robin Jarvis,1990,304,94,4.11,1216
"Burnt Offerings (Anita Blake, Vampire Hunter, #7)",Laurell K. Hamilton,1998,392,94,4.08,70376
"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,2012,358,94,3.93,983149
"June 29, 1999",David Wiesner,1992,32,93,4.11,2463
"Coś się kończy, coś się zaczyna",Andrzej Sapkowski,1988,299,93,3.92,10011
"Thorn Ogres Of Hagwood (The Hagwood Trilogy, #1)",Robin Jarvis,1999,,93,3.79,389
"Blue Moon (Anita Blake, Vampire Hunter, #8)",Laurell K. Hamilton,1998,418,93,4.06,66538
The Number Devil: A Mathematical Adventure,Hans Magnus Enzensberger,1997,264,93,3.92,6875
The Lost Years of Merlin Saga,T.A. Barron,2000,,93,4.4,469
"The Poppy War (The Poppy War, #1)",R.F. Kuang,2018,545,93,4.17,288442
The Silver Wolf (Legends of the Wolf #1),Alice Borchardt,1998,460,93,3.92,4515
"Outside the Dog Museum (Answered Prayers, #4)",Jonathan Carroll,1991,267,92,3.95,1732
"Heroes Die (The Acts of Caine, #1)",Matthew Woodring Stover,1998,535,91,4.09,12343
Slow Funeral,Rebecca Ore,1994,314,91,3.46,41
A Wizard's Dozen: Stories of the Fantastic,Michael Stearns,1993,186,91,3.81,208
"The Night Watch (Resurrection Man, #2)",Sean Stewart,1997,338,90,3.79,273
"The Pool of Two Moons (The Witches of Eileanan, #2)",Kate Forsyth,1998,557,90,4.19,4659
"The Awakeners: Northshore & Southshore (The Awakeners, #1-2)",Sheri S. Tepper,1987,512,90,3.81,1038
Robi Dobi: The Marvelous Adventures of an Indian Elephant,Madhur Jaffrey,1997,,90,4.27,33
Mockingbird,Sean Stewart,1998,256,89,3.84,776
The Changeling Prince,Vivian Vande Velde,1998,290,89,3.73,378
The High Rise Glorious Skittle Skat Roarious Sky Pie Angel Food Cake,Nancy Willard,1990,64,89,4.41,233
Black Trillium,Marion Zimmer Bradley,1990,491,88,3.6,4174
The Little King December,Axel Hacke,1993,64,88,4.21,601
Requiem,Graham Joyce,1995,308,87,3.61,706
The False House (Evenmere Chronicles #2),James Stoddard,2000,416,87,4.01,269
"R-T, Margaret, and the Rats of NIMH (Rats of NIMH, #3)",Jane Leslie Conly,1990,272,87,3.57,893
"A Taste of Blood Wine (Blood Wine, #1)",Freda Warrington,1992,501,87,3.68,1139
The Remarkable Journey of Prince Jen,Lloyd Alexander,1991,273,87,3.93,2008
The Tooth Fairy,Graham Joyce,1996,324,86,3.81,3104
"Newfangled Fairy Tales, Book #2 (Newfangled Fairy Tales, #2)",Bruce Lansky,1998,112,86,3.86,71
"Dragon (Vlad Taltos, #8)",Steven Brust,1998,288,85,4.17,6489
"The Heretic Kings (The Monarchies of God, #2)",Paul Kearney,1996,384,85,3.91,1042
Sword Quest,Andy Dixon,1998,32,85,4.12,25
"Master of Earth and Water (The Chronicle of Fionn mac Cumhal, #1)",Diana L. Paxson,1993,395,84,3.74,98
"Phoenix (Vlad Taltos, #5)",Steven Brust,1990,246,84,4.16,6675
Dragon Quest,Andy Dixon,1997,,84,4.15,47
"The Hollowing (Mythago Wood, #4)",Robert Holdstock,1993,333,83,3.97,1048
The Firework-Maker's Daughter,Philip Pullman,1995,128,83,3.7,4695
"Hawkwood and the Kings (Monarchies of God, #1-2)",Paul Kearney,2010,700,82,3.94,1231
The Pagemaster,David Kirschner,1993,85,82,4.24,650
"Bazil Broketail (Bazil Broketail, #1)",Christopher Rowley,1992,476,81,4.11,1088
"Battledragon (Bazil Broketail, #4)",Christopher Rowley,1995,416,80,4.15,553
"Dragon Ultimate (Bazil Broketail, #7)",Christopher Rowley,1999,373,79,4.05,487
"Dragons of War (Bazil Broketail, #3)",Christopher Rowley,1994,488,78,4.12,616
"Dragons of Argonath (Bazil Broketail, #6)",Christopher Rowley,1998,429,77,4.13,503
"A Sword for a Dragon (Bazil Broketail, #2)",Christopher Rowley,1993,480,76,4.14,727
"A Dragon at Worlds' End (Bazil Broketail, #5)",Christopher Rowley,1997,412,75,4.09,563
"Faery Lands Forlorn (A Man of His Word, #2)",Dave Duncan,1991,337,74,3.99,2251
"Perilous Seas (A Man of His Word, #3)",Dave Duncan,1991,336,72,4.08,2124
Scatterlings,Isobelle Carmody,1991,318,70,3.92,724
"Emperor and Clown (A Man of His Word, #4)",Dave Duncan,1991,469,70,4.16,2062
"Athyra (Vlad Taltos, #6)",Steven Brust,1993,246,70,4.02,5838
"The Squire, His Knight, and His Lady (The Squire's Tales, #2)",Gerald Morris,1999,232,68,4.22,5265
"The Wild Road (The Wild Road, #1)",Gabriel King,1997,460,65,3.95,1479
"Aurian (Artefacts of Power, #1)",Maggie Furey,1994,608,53,3.93,3353
"Orca (Vlad Taltos, #7)",Steven Brust,1996,290,47,4.06,5827
"Archangel (Samaria, #1)",Sharon Shinn,1996,400,43,4.04,10659
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,2007,662,20124,4.52,982511
The Final Empire (Mistborn #1),Brandon Sanderson,2006,571,17752,4.48,728123
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,2007,759,16296,4.62,3777239
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,2000,734,14584,4.57,3777222
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,2003,912,13195,4.5,3449112
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,2005,652,12969,4.58,3338848
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,2000,1177,10955,4.54,794811
"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,2006,499,9727,4.3,303156
"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,2007,815,8473,4.38,493632
"American Gods (American Gods, #1)",Neil Gaiman,2001,635,7990,4.11,946493
"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,2008,572,7707,4.54,448925
"The Blade Itself (The First Law, #1)",Joe Abercrombie,2006,515,6095,4.21,256354
The Graveyard Book,Neil Gaiman,2008,312,5770,4.16,545951
"Elantris (Elantris, #1)",Brandon Sanderson,2005,638,5127,4.18,282494
"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,2005,1060,5119,4.16,741430
Warbreaker,Brandon Sanderson,2009,688,4691,4.3,212837
"Graceling (Graceling Realm, #1)",Kristin Cashore,2008,471,4295,4.07,466038
"Fool's Errand (Tawny Man, #1)",Robin Hobb,2001,661,4074,4.36,94670
The Amber Spyglass,Philip Pullman,2000,548,4006,4.1,363995
"The Warded Man (The Demon Cycle, #1)",Peter V. Brett,2008,416,3947,4.25,125333
Jonathan Strange & Mr Norrell,Susanna Clarke,2004,1006,3823,3.86,239358
"Storm Front (The Dresden Files, #1)",Jim Butcher,2000,355,3777,3.98,356481
"His Majesty's Dragon (Temeraire, #1)",Naomi Novik,2006,356,3596,4.06,102490
"The Curse of Chalion (World of the Five Gods, #1)",Lois McMaster Bujold,2001,490,3339,4.17,39879
"Kushiel's Dart (Phèdre's Trilogy, #1)",Jacqueline Carey,2001,934,3266,4.02,81091
"Last Argument of Kings (The First Law, #3)",Joe Abercrombie,2008,536,3192,4.34,165452
"Going Postal (Discworld, #33; Moist von Lipwig, #1)",Terry Pratchett,2004,394,3122,4.4,126183
"Fool's Fate (Tawny Man, #3)",Robin Hobb,2003,914,3083,4.47,79946
"Theft of Swords (The Riyria Revelations, #1-2)",Michael J. Sullivan,2011,691,2969,4.23,70197
"Moon Called (Mercy Thompson, #1)",Patricia Briggs,2006,289,2969,4.15,208888
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,,,2908,4.31,3095975
"Before They Are Hanged (The First Law, #2)",Joe Abercrombie,2007,441,2882,4.35,179119
"Golden Fool (Tawny Man, #2)",Robin Hobb,2002,736,2757,4.36,82638
"Memories of Ice (Malazan Book of the Fallen, #3)",Steven Erikson,2001,925,2756,4.46,59952
"Ship of Destiny (Liveship Traders, #3)",Robin Hobb,2000,789,2682,4.3,75570
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,2008,361,2645,4.42,1111460
"Night Watch (Discworld, #29; City Watch, #6)",Terry Pratchett,2002,480,2608,4.5,112133
"Magic Bites (Kate Daniels, #1)",Ilona Andrews,2007,261,2563,4.06,127503
"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,2009,11,2508,4.55,1032933
"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,2001,396,2490,3.86,549900
"The Amulet of Samarkand (Bartimaeus, #1)",Jonathan Stroud,2003,462,2473,4.03,129735
"The Titan’s Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,2007,320,2468,4.37,1088789
Best Served Cold,Joe Abercrombie,2009,534,2361,4.23,94255
"Furies of Calderon (Codex Alera, #1)",Jim Butcher,2004,688,2352,4.13,109237
The Truth: Stage Adaptation,Stephen Briggs,2000,336,2323,4.25,49419
"Poison Study (Study, #1)",Maria V. Snyder,2005,427,2288,4.1,168009
"Fire (Graceling Realm, #2)",Kristin Cashore,2009,480,2287,4.1,187976
"Knife of Dreams (The Wheel of Time, #11)",Robert Jordan,2005,860,2245,4.19,135210
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,2006,279,2212,4.24,1209471
"Thud! (Discworld, #34; City Watch, #7)",Terry Pratchett,2005,439,2166,4.35,74402
Coraline,Neil Gaiman,2002,176,2148,4.12,709234
"Paladin of Souls (World of the Five Gods, #2)",Lois McMaster Bujold,2003,470,2067,4.18,25631
"The King of Attolia (The Queen's Thief, #3)",Megan Whalen Turner,2006,387,1982,4.38,40994
"Monstrous Regiment (Discworld, #31; Industrial Revolution, #3)",Terry Pratchett,2003,496,1965,4.23,74066
"Soulless (Parasol Protectorate, #1)",Gail Carriger,2009,357,1926,3.9,111330
"Lirael (Abhorsen, #2)",Garth Nix,2001,464,1903,4.29,119969
"The Gathering Storm (The Wheel of Time, #12)",Robert Jordan,2009,824,1828,4.43,163732
"The Way of Shadows (Night Angel, #1)",Brent Weeks,2008,645,1826,4.15,169957
"Wolves of the Calla (The Dark Tower, #5)",Stephen King,2003,960,1802,4.2,187461
"The Eyre Affair (Thursday Next, #1)",Jasper Fforde,2001,374,1778,3.89,133539
Sunshine,Robin McKinley,2003,405,1750,3.84,42882
"Son of the Shadows (Sevenwaters, #2)",Juliet Marillier,2000,608,1628,4.33,32522
"The Novice (Black Magician Trilogy, #2)",Trudi Canavan,2002,480,1565,4.08,60953
"Midnight Tides (Malazan Book of the Fallen, #5)",Steven Erikson,2004,960,1562,4.41,42858
Anansi Boys,Neil Gaiman,2005,387,1544,4.04,225039
"The Queen of Attolia (The Queen's Thief, #2)",Megan Whalen Turner,2000,362,1542,4.17,47176
"The Dark Tower (The Dark Tower, #7)",Stephen King,2004,1050,1537,4.28,175857
"New Spring (Wheel of Time, #0)",Robert Jordan,2004,432,1497,4.07,107002
"The Tales of Beedle the Bard (Hogwarts Library, #3)",J.K. Rowling,2008,105,1495,4.04,492642
"Inkheart (Inkworld, #1)",Cornelia Funke,2003,563,1469,3.92,427810
"Perdido Street Station (New Crobuzon, #1)",China Miéville,2000,710,1411,3.98,71013
